"origin_fips","dest_fips","num_migrants","m_i","m_j"
54,26,398,1854239,9877510
30,26,306,990697,9877510
16,26,331,1570746,9877510
38,26,285,674715,9877510
33,26,262,1316762,9877510
23,26,226,1327629,9877510
46,26,245,816166,9877510
10,26,183,899593,9877510
50,26,175,625879,9877510
44,26,143,1053959,9877510
55,27,10626,5690475,5310828
38,27,5369,674715,5310828
6,27,5088,37319502,5310828
17,27,4746,12840503,5310828
19,27,4259,3050745,5310828
48,27,3940,25241971,5310828
12,27,2903,18845537,5310828
46,27,2630,816166,5310828
4,27,2556,6407172,5310828
8,27,2095,5047349,5310828
26,27,2034,9877510,5310828
36,27,1672,19399878,5310828
53,27,1601,6742830,5310828
29,27,1619,5995974,5310828
39,27,1514,11539336,5310828
13,27,1478,9711881,5310828
51,27,1309,8023699,5310828
37,27,1292,9574323,5310828
31,27,1324,1829542,5310828
18,27,1269,6490432,5310828
42,27,1156,12711160,5310828
41,27,879,3837491,5310828
25,27,784,6566307,5310828
32,27,836,2702405,5310828
47,27,899,6355311,5310828
20,27,840,2858190,5310828
34,27,774,8799446,5310828
24,27,581,5788645,5310828
30,27,581,990697,5310828
49,27,648,2775332,5310828
40,27,599,3759944,5310828
2,27,448,713910,5310828
45,27,477,4635649,5310828
21,27,471,4348181,5310828
5,27,488,2921964,5310828
35,27,358,2064552,5310828
9,27,363,3579114,5310828
16,27,410,1570746,5310828
22,27,330,4544532,5310828
15,27,295,1363963,5310828
56,27,308,564487,5310828
1,27,365,4785437,5310828
28,27,288,2970548,5310828
11,27,189,605226,5310828
33,27,167,1316762,5310828
23,27,164,1327629,5310828
44,27,108,1053959,5310828
50,27,108,625879,5310828
10,27,115,899593,5310828
54,27,110,1854239,5310828
47,28,9581,6355311,2970548
22,28,6429,4544532,2970548
1,28,5292,4785437,2970548
48,28,4910,25241971,2970548
12,28,4217,18845537,2970548
13,28,3399,9711881,2970548
6,28,1946,37319502,2970548
17,28,1781,12840503,2970548
5,28,1830,2921964,2970548
37,28,1401,9574323,2970548
51,28,1367,8023699,2970548
29,28,1112,5995974,2970548
26,28,969,9877510,2970548
39,28,887,11539336,2970548
36,28,777,19399878,2970548
45,28,812,4635649,2970548
8,28,682,5047349,2970548
18,28,737,6490432,2970548
21,28,744,4348181,2970548
42,28,578,12711160,2970548
40,28,639,3759944,2970548
55,28,614,5690475,2970548
4,28,583,6407172,2970548
53,28,553,6742830,2970548
24,28,419,5788645,2970548
11,28,251,605226,2970548
32,28,373,2702405,2970548
34,28,394,8799446,2970548
20,28,359,2858190,2970548
19,28,334,3050745,2970548
27,28,284,5310828,2970548
31,28,259,1829542,2970548
35,28,243,2064552,2970548
2,28,230,713910,2970548
49,28,235,2775332,2970548
41,28,170,3837491,2970548
25,28,154,6566307,2970548
15,28,196,1363963,2970548
54,28,120,1854239,2970548
9,28,131,3579114,2970548
16,28,105,1570746,2970548
56,28,98,564487,2970548
30,28,95,990697,2970548
33,28,69,1316762,2970548
46,28,71,816166,2970548
38,28,78,674715,2970548
23,28,71,1327629,2970548
10,28,69,899593,2970548
44,28,-1,1053959,2970548
50,28,-1,625879,2970548
20,29,15644,2858190,5995974
17,29,12963,12840503,5995974
48,29,8003,25241971,5995974
6,29,6085,37319502,5995974
12,29,4662,18845537,5995974
5,29,4894,2921964,5995974
19,29,3112,3050745,5995974
40,29,3409,3759944,5995974
47,29,2606,6355311,5995974
8,29,2565,5047349,5995974
13,29,2680,9711881,5995974
4,29,2364,6407172,5995974
26,29,2133,9877510,5995974
39,29,2082,11539336,5995974
36,29,1978,19399878,5995974
18,29,2191,6490432,5995974
51,29,2210,8023699,5995974
37,29,2291,9574323,5995974
31,29,1816,1829542,5995974
53,29,1762,6742830,5995974
55,29,1757,5690475,5995974
21,29,1724,4348181,5995974
42,29,1419,12711160,5995974
27,29,1387,5310828,5995974
22,29,1304,4544532,5995974
32,29,1087,2702405,5995974
1,29,1131,4785437,5995974
28,29,1035,2970548,5995974
24,29,823,5788645,5995974
45,29,873,4635649,5995974
41,29,791,3837491,5995974
34,29,732,8799446,5995974
49,29,979,2775332,5995974
25,29,560,6566307,5995974
15,29,774,1363963,5995974
35,29,613,2064552,5995974
2,29,678,713910,5995974
46,29,487,816166,5995974
16,29,490,1570746,5995974
9,29,376,3579114,5995974
56,29,378,564487,5995974
30,29,289,990697,5995974
38,29,260,674715,5995974
11,29,176,605226,5995974
54,29,213,1854239,5995974
23,29,157,1327629,5995974
33,29,136,1316762,5995974
10,29,143,899593,5995974
44,29,95,1053959,5995974
50,29,78,625879,5995974
53,30,2963,6742830,990697
6,30,2663,37319502,990697
16,30,1595,1570746,990697
8,30,1475,5047349,990697
56,30,1454,564487,990697
41,30,1263,3837491,990697
48,30,1247,25241971,990697
4,30,1135,6407172,990697
12,30,784,18845537,990697
38,30,820,674715,990697
27,30,705,5310828,990697
49,30,999,2775332,990697
32,30,807,2702405,990697
2,30,546,713910,990697
26,30,478,9877510,990697
55,30,445,5690475,990697
36,30,382,19399878,990697
17,30,389,12840503,990697
42,30,398,12711160,990697
46,30,447,816166,990697
51,30,417,8023699,990697
13,30,363,9711881,990697
29,30,396,5995974,990697
37,30,343,9574323,990697
39,30,333,11539336,990697
35,30,308,2064552,990697
47,30,300,6355311,990697
40,30,316,3759944,990697
20,30,218,2858190,990697
31,30,227,1829542,990697
18,30,198,6490432,990697
19,30,225,3050745,990697
15,30,189,1363963,990697
24,30,158,5788645,990697
1,30,194,4785437,990697
25,30,127,6566307,990697
21,30,151,4348181,990697
34,30,124,8799446,990697
5,30,142,2921964,990697
22,30,120,4544532,990697
28,30,127,2970548,990697
9,30,90,3579114,990697
45,30,111,4635649,990697
33,30,83,1316762,990697
50,30,76,625879,990697
23,30,68,1327629,990697
54,30,65,1854239,990697
11,30,23,605226,990697
44,30,17,1053959,990697
10,30,25,899593,990697
19,31,5548,3050745,1829542
8,31,2815,5047349,1829542
48,31,2754,25241971,1829542
20,31,2352,2858190,1829542
6,31,2356,37319502,1829542
29,31,1912,5995974,1829542
46,31,1443,816166,1829542
12,31,1512,18845537,1829542
17,31,1290,12840503,1829542
4,31,1247,6407172,1829542
27,31,1009,5310828,1829542
56,31,772,564487,1829542
53,31,792,6742830,1829542
51,31,687,8023699,1829542
39,31,602,11539336,1829542
13,31,658,9711881,1829542
32,31,627,2702405,1829542
40,31,611,3759944,1829542
26,31,517,9877510,1829542
36,31,479,19399878,1829542
37,31,550,9574323,1829542
55,31,450,5690475,1829542
18,31,438,6490432,1829542
49,31,514,2775332,1829542
42,31,402,12711160,1829542
47,31,399,6355311,1829542
5,31,391,2921964,1829542
41,31,360,3837491,1829542
38,31,356,674715,1829542
30,31,278,990697,1829542
35,31,302,2064552,1829542
1,31,315,4785437,1829542
24,31,228,5788645,1829542
21,31,254,4348181,1829542
16,31,273,1570746,1829542
22,31,252,4544532,1829542
34,31,248,8799446,1829542
45,31,221,4635649,1829542
28,31,230,2970548,1829542
15,31,198,1363963,1829542
25,31,172,6566307,1829542
2,31,177,713910,1829542
9,31,105,3579114,1829542
33,31,52,1316762,1829542
11,31,55,605226,1829542
54,31,42,1854239,1829542
44,31,49,1053959,1829542
10,31,53,899593,1829542
23,31,60,1327629,1829542
50,31,28,625879,1829542
6,32,28563,37319502,2702405
4,32,6481,6407172,2702405
48,32,4534,25241971,2702405
12,32,3632,18845537,2702405
53,32,3297,6742830,2702405
49,32,4122,2775332,2702405
8,32,2536,5047349,2702405
17,32,2329,12840503,2702405
36,32,2025,19399878,2702405
41,32,2064,3837491,2702405
15,32,1739,1363963,2702405
26,32,1313,9877510,2702405
16,32,1600,1570746,2702405
39,32,1321,11539336,2702405
51,32,1351,8023699,2702405
35,32,1221,2064552,2702405
13,32,1203,9711881,2702405
42,32,1053,12711160,2702405
34,32,988,8799446,2702405
37,32,1045,9574323,2702405
29,32,954,5995974,2702405
55,32,752,5690475,2702405
27,32,750,5310828,2702405
18,32,795,6490432,2702405
47,32,743,6355311,2702405
40,32,817,3759944,2702405
25,32,578,6566307,2702405
2,32,731,713910,2702405
24,32,635,5788645,2702405
30,32,556,990697,2702405
20,32,575,2858190,2702405
22,32,546,4544532,2702405
31,32,553,1829542,2702405
56,32,497,564487,2702405
19,32,468,3050745,2702405
45,32,470,4635649,2702405
5,32,427,2921964,2702405
28,32,457,2970548,2702405
1,32,418,4785437,2702405
21,32,355,4348181,2702405
9,32,312,3579114,2702405
46,32,277,816166,2702405
38,32,203,674715,2702405
33,32,126,1316762,2702405
44,32,117,1053959,2702405
54,32,118,1854239,2702405
23,32,95,1327629,2702405
10,32,88,899593,2702405
11,32,63,605226,2702405
50,32,66,625879,2702405
25,33,9744,6566307,1316762
23,33,2468,1327629,1316762
12,33,2168,18845537,1316762
50,33,1888,625879,1316762
36,33,1791,19399878,1316762
9,33,1027,3579114,1316762
6,33,1032,37319502,1316762
48,33,759,25241971,1316762
42,33,765,12711160,1316762
37,33,768,9574323,1316762
34,33,620,8799446,1316762
51,33,682,8023699,1316762
44,33,417,1053959,1316762
13,33,463,9711881,1316762
8,33,381,5047349,1316762
24,33,374,5788645,1316762
39,33,383,11539336,1316762
4,33,378,6407172,1316762
45,33,367,4635649,1316762
17,33,316,12840503,1316762
26,33,302,9877510,1316762
53,33,268,6742830,1316762
47,33,232,6355311,1316762
18,33,214,6490432,1316762
32,33,156,2702405,1316762
49,33,172,2775332,1316762
29,33,182,5995974,1316762
41,33,146,3837491,1316762
27,33,145,5310828,1316762
55,33,150,5690475,1316762
21,33,101,4348181,1316762
22,33,113,4544532,1316762
1,33,100,4785437,1316762
11,33,86,605226,1316762
15,33,99,1363963,1316762
30,33,83,990697,1316762
2,33,74,713910,1316762
10,33,87,899593,1316762
