10 000 97 000 DE DE Total Mig - US                    12576      22859      615593
10 000 98 000 DE DE Total Mig - Foreign                 315        645       16144
10 000 10 000 DE DE Non-Migrants                     328704     692294    19831619
10 000 42 000 PA PENNSYLVANIA                          2751       5046      152108
10 000 24 000 MD MARYLAND                              2042       3642       80041
10 000 12 000 FL FLORIDA                               1105       1870       56988
10 000 34 000 NJ NEW JERSEY                            1005       1751       50872
10 000 36 000 NY NEW YORK                               688       1110       32891
10 000 51 000 VA VIRGINIA                               672       1209       34358
10 000 37 000 NC NORTH CAROLINA                         478        897       21493
10 000 48 000 TX TEXAS                                  449        942       27067
10 000 06 000 CA CALIFORNIA                             419        709        2133
10 000 13 000 GA GEORGIA                                327        620       13023
10 000 57 000 FR Foreign                                315        645       16144
10 000 45 000 SC SOUTH CAROLINA                         222        430       12566
10 000 39 000 OH OHIO                                   182        348       10133
10 000 25 000 MA MASSACHUSETTS                          172        284       13963
10 000 17 000 IL ILLINOIS                               161        299        9126
10 000 04 000 AZ ARIZONA                                141        257        7561
10 000 08 000 CO COLORADO                               116        224        7050
10 000 11 000 DC DISTRICT OF COLUMBIA                   108        138        7631
10 000 47 000 TN TENNESSEE                              105        207        6355
10 000 26 000 MI MICHIGAN                               104        183        4365
10 000 09 000 CT CONNECTICUT                             99        152        5091
10 000 53 000 WA WASHINGTON                              88        172        4286
10 000 54 000 WV WEST VIRGINIA                           79        139        3434
10 000 18 000 IN INDIANA                                 72        170        3195
10 000 55 000 WI WISCONSIN                               67        206        2357
10 000 29 000 MO MISSOURI                                66        143        3305
10 000 22 000 LA LOUISIANA                               64        120        3998
10 000 01 000 AL ALABAMA                                 57        150        2640
10 000 27 000 MN MINNESOTA                               55        115        3016
10 000 32 000 NV NEVADA                                  54         88        3116
10 000 41 000 OR OREGON                                  54         75        2463
10 000 40 000 OK OKLAHOMA                                53        115        2430
10 000 20 000 KS KANSAS                                  48        126        2543
10 000 33 000 NH NEW HAMPSHIRE                           48         87        2668
10 000 21 000 KY KENTUCKY                                47         97        2517
10 000 19 000 IA IOWA                                    43         84        1965
10 000 15 000 HI HAWAII                                  41         65        1444
10 000 49 000 UT UTAH                                    35         74        1931
10 000 28 000 MS MISSISSIPPI                             34         69        2032
10 000 44 000 RI RHODE ISLAND                            34         52        1635
10 000 02 000 AK ALASKA                                  30         64        1505
10 000 05 000 AR ARKANSAS                                28         62        1770
10 000 31 000 NE NEBRASKA                                25         53        1334
10 000 23 000 ME MAINE                                   24         39        1055
10 000 35 000 NM NEW MEXICO                              24         48        1204
10 000 30 000 MT MONTANA                                 12         25         399
10 000 46 000 SD SOUTH DAKOTA                            12         25         634
10 000 16 000 ID IDAHO                                   11         27         570
10 000 50 000 VT VERMONT                                  9         17         586
10 000 38 000 ND NORTH DAKOTA                             8         14         303
10 000 56 000 WY WYOMING                                  8         20         444
11 000 96 000 DC DC Total Mig - US & For              24594      37098     1496906
11 000 97 000 DC DC Total Mig - US                    23840      35886     1447367
11 000 98 000 DC DC Total Mig - Foreign                 754       1212       49539
11 000 11 000 DC DC Non-Migrants                     219908     368718    16134958
